config,rejections,mean_lambda,ild_mean,ild_std,relevance_mean,n_points
fixed_0.5,0,0.5,0.372,0.0904,0.2922,20
fixed_0.5,1,0.5,0.3724,0.0932,0.2909,20
fixed_0.5,2,0.5,0.3706,0.0928,0.2908,20
fixed_0.5,3,0.5,0.3777,0.0945,0.29,20
fixed_0.5,4,0.5,0.378,0.0915,0.2894,20
fixed_0.5,5,0.5,0.3738,0.0902,0.2882,20
fixed_0.5,6,0.5,0.3697,0.0913,0.2883,20
fixed_0.5,7,0.5,0.3738,0.0981,0.2878,20
fixed_0.5,8,0.5,0.38,0.1008,0.2876,20
fixed_0.5,9,0.5,0.3707,0.0946,0.2873,20
fixed_0.5,10,0.5,0.3719,0.0917,0.2868,20
fixed_0.7,0,0.7,0.371,0.0937,0.2931,20
fixed_0.7,1,0.7,0.3717,0.0942,0.2911,20
fixed_0.7,2,0.7,0.3703,0.0927,0.2908,20
fixed_0.7,3,0.7,0.3776,0.0961,0.2901,20
fixed_0.7,4,0.7,0.376,0.0924,0.2899,20
fixed_0.7,5,0.7,0.3722,0.0901,0.2893,20
fixed_0.7,6,0.7,0.3696,0.09,0.2885,20
fixed_0.7,7,0.7,0.371,0.0987,0.2881,20
fixed_0.7,8,0.7,0.3811,0.0986,0.2877,20
fixed_0.7,9,0.7,0.3716,0.0968,0.2874,20
fixed_0.7,10,0.7,0.3726,0.0904,0.287,20
fixed_0.9,0,0.9,0.3399,0.1113,0.2972,20
fixed_0.9,1,0.9,0.3438,0.1039,0.2945,20
fixed_0.9,2,0.9,0.3517,0.1108,0.2939,20
fixed_0.9,3,0.9,0.3587,0.1055,0.2925,20
fixed_0.9,4,0.9,0.3582,0.1038,0.2917,20
fixed_0.9,5,0.9,0.3609,0.0972,0.2907,20
fixed_0.9,6,0.9,0.3542,0.1012,0.2901,20
fixed_0.9,7,0.9,0.3665,0.1066,0.2894,20
fixed_0.9,8,0.9,0.3682,0.1018,0.2891,20
fixed_0.9,9,0.9,0.3624,0.0952,0.2885,20
fixed_0.9,10,0.9,0.3656,0.0986,0.2878,20
adaptive,0,0.6959,0.3671,0.0963,0.2935,200
adaptive,1,0.6661,0.3703,0.0929,0.2913,200
adaptive,2,0.6175,0.3695,0.0932,0.291,200
adaptive,3,0.6053,0.3777,0.0958,0.2902,200
adaptive,4,0.5884,0.3773,0.0918,0.2896,200
adaptive,5,0.5472,0.3733,0.0906,0.2885,200
adaptive,6,0.5353,0.3698,0.0911,0.2883,200
adaptive,7,0.5279,0.3738,0.0981,0.2878,200
adaptive,8,0.515,0.38,0.1008,0.2876,200
adaptive,9,0.5144,0.3708,0.0947,0.2873,200
adaptive,10,0.505,0.372,0.0916,0.2869,200
