article_id,label,corruption,l1_flag,l2_flag,l3_flag,api_degraded,l1_ms,l2_ms,l3_ms
0189654047,hallucinated,fabric_claim,1,0,0,0,739,18431,15963
0189654047,hallucinated,visual_claim,1,0,0,0,334,2215,761
0237222001,clean,none,0,0,0,0,609,3334,1099
0237222001,hallucinated,colour_swap,1,1,1,0,361,2394,813
0237222001,hallucinated,type_swap,0,0,0,0,235,2068,905
0237222001,hallucinated,fabric_claim,1,1,0,0,916,4065,776
0237222001,hallucinated,visual_claim,1,0,0,0,217,8587,751
0324963051,clean,none,0,0,0,0,4737,13205,897
0324963051,hallucinated,colour_swap,0,0,0,0,415,12910,855
0324963051,hallucinated,fabric_claim,1,1,0,0,175,12494,743
0380609001,clean,none,0,0,0,0,4980,12746,993
0380609001,hallucinated,colour_swap,1,0,1,0,182,12763,1032
0380609001,hallucinated,type_swap,1,0,0,0,222,12467,806
0380609001,hallucinated,fabric_claim,1,1,0,0,293,12439,720
0348870008,clean,none,0,0,0,0,5114,12737,874
0348870008,hallucinated,colour_swap,1,0,1,0,217,12419,721
0348870008,hallucinated,fabric_claim,1,1,0,0,215,13065,806
0348870008,hallucinated,visual_claim,1,0,0,0,523,12715,763
0377436002,clean,none,0,1,0,0,5229,13120,927
0377436002,hallucinated,colour_swap,1,1,0,0,238,12821,725
0377436002,hallucinated,fabric_claim,1,1,0,0,290,13001,716
0351484033,clean,none,0,0,1,0,4749,12597,967
0351484033,hallucinated,colour_swap,1,0,1,0,366,12467,765
0351484033,hallucinated,fabric_claim,1,0,1,0,244,12658,794
0658525001,clean,none,0,0,0,0,5328,12571,869
0658525001,hallucinated,colour_swap,1,0,1,0,219,12346,733
0658525001,hallucinated,type_swap,1,0,0,0,357,12735,756
0658525001,hallucinated,fabric_claim,0,0,0,0,270,12454,721
0658525001,hallucinated,visual_claim,1,0,0,0,328,12576,760
0633450001,clean,none,0,0,0,0,5243,12996,823
0633450001,hallucinated,colour_swap,1,0,1,0,324,12547,792
0633450001,hallucinated,fabric_claim,1,0,0,0,205,12300,866
0607025001,clean,none,0,0,1,0,5452,12622,722
0607025001,hallucinated,colour_swap,1,0,1,0,333,13284,650
0607025001,hallucinated,type_swap,1,0,1,0,366,12489,673
0607025001,hallucinated,fabric_claim,1,0,1,0,168,12444,611
0333353010,clean,none,0,0,0,0,4934,12600,910
0333353010,hallucinated,colour_swap,1,0,0,0,348,12493,811
0333353010,hallucinated,fabric_claim,1,0,0,0,285,12481,725
0337991002,clean,none,0,1,1,0,5032,12975,946
0337991002,hallucinated,colour_swap,1,1,1,0,535,12364,846
0337991002,hallucinated,type_swap,1,1,1,0,220,12584,867
0337991002,hallucinated,fabric_claim,1,1,1,0,199,12367,761
0337991002,hallucinated,visual_claim,0,1,1,0,239,13297,761
0327310002,clean,none,0,0,0,0,5160,24237,748
0327310002,hallucinated,colour_swap,1,0,0,0,253,2072,737
0327310002,hallucinated,type_swap,1,0,0,0,190,10577,751
0327310002,hallucinated,fabric_claim,1,0,0,0,315,12519,755
0327310002,hallucinated,visual_claim,1,0,0,0,212,12459,721
0758288001,clean,none,0,0,0,0,4809,12343,837
0758288001,hallucinated,colour_swap,1,0,1,0,332,12800,728
0758288001,hallucinated,type_swap,1,0,0,0,312,12531,749
0758288001,hallucinated,fabric_claim,1,0,0,0,333,12614,771
0758288001,hallucinated,visual_claim,1,0,0,0,665,12786,741
0189616006,clean,none,0,1,0,0,5009,13049,1029
0189616006,hallucinated,colour_swap,1,1,0,0,211,12708,728
0189616006,hallucinated,fabric_claim,1,0,0,0,299,12507,729
0241412052,clean,none,0,0,0,0,5376,13395,1179
0241412052,hallucinated,colour_swap,1,0,1,0,214,12506,793
0241412052,hallucinated,fabric_claim,1,0,0,0,198,12838,927
0201219001,clean,none,0,0,0,0,4826,13705,2529
0201219001,hallucinated,colour_swap,1,1,0,0,477,10790,907
0201219001,hallucinated,fabric_claim,1,0,0,0,258,13074,945
0201219001,hallucinated,visual_claim,1,0,0,0,254,13022,901
0296476017,clean,none,0,0,1,0,4997,13835,1065
0296476017,hallucinated,colour_swap,1,0,0,0,319,14644,1456
0296476017,hallucinated,type_swap,1,0,1,0,362,10769,853
0296476017,hallucinated,fabric_claim,1,1,1,0,277,12317,711
0305775024,clean,none,0,1,1,0,5045,15712,1461
0305775024,hallucinated,colour_swap,1,1,0,0,258,8177,751
0305775024,hallucinated,fabric_claim,1,1,1,0,180,12447,733
0305775024,hallucinated,visual_claim,1,1,1,0,342,12730,736
0266875024,clean,none,0,1,1,0,4939,14324,973
0266875024,hallucinated,colour_swap,1,1,1,0,236,12823,719
0266875024,hallucinated,type_swap,1,1,1,0,229,12451,713
0266875024,hallucinated,fabric_claim,1,0,1,0,290,12552,759
0266875024,hallucinated,visual_claim,1,0,1,0,335,12725,758
0205225001,clean,none,0,0,0,0,4909,12584,994
0205225001,hallucinated,colour_swap,1,0,0,0,237,12437,828
0205225001,hallucinated,type_swap,1,0,0,0,253,13405,1001
0205225001,hallucinated,fabric_claim,1,0,0,0,411,13085,808
0205225001,hallucinated,visual_claim,1,0,0,0,295,13094,815
0237347045,hallucinated,fabric_claim,1,0,0,0,1105,21555,13188
0237347045,hallucinated,visual_claim,1,0,0,0,498,2637,879
0153115021,clean,none,0,0,0,0,667,3149,995
0153115021,hallucinated,colour_swap,1,0,0,0,241,2436,903
0153115021,hallucinated,type_swap,1,0,0,0,379,2585,1035
0153115021,hallucinated,fabric_claim,1,0,0,0,185,2344,858
0153115021,hallucinated,visual_claim,1,0,0,0,319,8698,862
0602409002,clean,none,0,0,1,0,4880,13141,1076
0602409002,hallucinated,colour_swap,1,0,1,0,187,12445,896
0602409002,hallucinated,type_swap,1,0,0,0,323,13035,970
0602409002,hallucinated,fabric_claim,1,0,1,0,192,12770,984
0593829029,clean,none,0,0,0,0,4784,12928,880
0593829029,hallucinated,colour_swap,1,0,1,0,289,12800,651
0593829029,hallucinated,fabric_claim,1,0,0,0,343,12636,690
0593829029,hallucinated,visual_claim,1,0,0,0,347,12544,674
0306847011,clean,none,0,0,0,0,4723,12825,1064
0306847011,hallucinated,colour_swap,1,0,0,0,333,12860,816
0306847011,hallucinated,fabric_claim,1,0,0,0,347,12707,804
0496111007,clean,none,0,0,0,0,4698,13486,904
0496111007,hallucinated,colour_swap,1,0,1,0,230,12927,834
0496111007,hallucinated,type_swap,1,0,0,0,388,12649,777
0496111007,hallucinated,fabric_claim,1,0,0,0,418,12804,803
0118458004,clean,none,0,0,0,0,4711,12781,774
0118458004,hallucinated,colour_swap,1,0,1,0,365,12878,643
0118458004,hallucinated,type_swap,0,0,0,0,422,12805,609
0361531012,hallucinated,visual_claim,1,0,0,0,1725,12384,8800
0300908009,clean,none,0,0,0,0,1021,2800,1030
0130035001,clean,none,0,0,0,0,1033,12747,8615
0130035001,hallucinated,visual_claim,1,0,0,0,1498,13001,9075
0778064001,clean,none,0,0,0,0,839,5396,9116
0539151001,clean,none,0,0,0,0,931,13419,9277
0539151001,hallucinated,visual_claim,1,0,0,0,692,12601,8779
0176209023,hallucinated,fabric_claim,1,1,0,0,1027,16111,9442
0253448059,hallucinated,fabric_claim,1,0,0,0,945,16075,11504
0573652002,hallucinated,fabric_claim,1,0,0,0,1128,5234,821
0189654047,clean,none,0,0,0,0,1813,13159,9942
0189654047,hallucinated,colour_swap,1,0,1,0,844,15666,10272
0189654047,hallucinated,type_swap,1,0,1,0,450,2644,1111
0237347045,clean,none,0,0,0,0,1772,12613,8941
0237347045,hallucinated,colour_swap,1,0,1,0,875,16015,12917
0237347045,hallucinated,type_swap,0,0,0,0,863,12986,11147
0118458004,hallucinated,fabric_claim,1,0,0,0,713,14739,12311
0567499001,clean,none,0,0,0,0,820,12188,10581
0567499001,hallucinated,colour_swap,1,0,0,0,324,1969,702
0567499001,hallucinated,type_swap,0,0,1,0,222,1911,706
0567499001,hallucinated,fabric_claim,1,0,0,0,842,5091,940
0567499001,hallucinated,visual_claim,1,0,0,0,302,38245,688
0361531012,clean,none,0,0,0,0,697,11744,10446
0361531012,hallucinated,colour_swap,1,0,0,0,750,4713,2781
0361531012,hallucinated,fabric_claim,1,0,0,0,263,1994,808
0300908009,hallucinated,colour_swap,1,0,1,0,958,10323,10428
0300908009,hallucinated,type_swap,1,0,0,0,901,13100,10672
0300908009,hallucinated,fabric_claim,1,0,0,0,727,4143,734
0300908009,hallucinated,visual_claim,1,0,0,0,638,12938,10554
0282832014,clean,none,0,0,0,0,845,4671,812
0282832014,hallucinated,colour_swap,1,1,0,0,946,14044,10154
0282832014,hallucinated,type_swap,1,1,0,0,967,4192,934
0282832014,hallucinated,fabric_claim,1,1,0,0,1035,57020,41331
0282832014,hallucinated,visual_claim,1,0,0,0,923,19085,10503
0130035001,hallucinated,colour_swap,1,1,0,0,771,5203,846
0130035001,hallucinated,type_swap,1,0,1,0,723,13652,11004
0130035001,hallucinated,fabric_claim,1,0,0,0,349,2413,810
0514577023,clean,none,0,0,1,0,1633,12707,10464
0514577023,hallucinated,colour_swap,1,0,1,0,865,12631,11010
0514577023,hallucinated,fabric_claim,1,1,1,0,945,15499,11166
0778064001,hallucinated,colour_swap,1,0,0,0,869,13987,12648
0778064001,hallucinated,fabric_claim,1,0,0,0,333,10991,840
0778064001,hallucinated,visual_claim,0,0,0,0,880,12312,9804
0539151001,hallucinated,colour_swap,0,0,0,0,949,17080,14678
0539151001,hallucinated,type_swap,0,0,0,0,1471,19261,12494
0539151001,hallucinated,fabric_claim,0,0,0,0,1407,16422,11334
0176209023,clean,none,0,0,0,0,961,86328,253034
0176209023,hallucinated,colour_swap,0,0,0,0,1022,13243,26023
0176209023,hallucinated,type_swap,0,0,1,0,804,12840,10087
0176209023,hallucinated,visual_claim,0,0,0,0,810,32738,13859
0253448059,clean,none,0,0,0,0,2275,19506,13647
0253448059,hallucinated,type_swap,0,0,1,0,928,12798,10092
0253448059,hallucinated,visual_claim,0,0,0,0,1862,13647,10018
0573652002,clean,none,0,0,0,0,1002,15227,13021
0573652002,hallucinated,colour_swap,0,0,0,0,909,19760,11696
0573652002,hallucinated,visual_claim,0,0,0,0,1024,12880,12730
0262277009,clean,none,0,0,0,0,4203,26176,11390
0262277009,hallucinated,colour_swap,0,0,1,0,1007,12793,10249
0262277009,hallucinated,type_swap,0,0,0,0,1159,12793,10018
0262277009,hallucinated,fabric_claim,0,0,0,0,1866,21922,15648
0262277009,hallucinated,visual_claim,0,0,0,0,1096,13897,13066
