article_id,label,corruption,l1_flag,l2_flag,l3_flag,l1_ms,l2_ms,l3_ms
0189654047,clean,none,0,0,0,1831,23492,24629
0189654047,hallucinated,colour_swap,1,0,1,805,2844,1200
0189654047,hallucinated,type_swap,1,0,1,874,3097,1212
0189654047,hallucinated,fabric_claim,1,0,0,601,3141,1159
0189654047,hallucinated,visual_claim,1,0,0,697,2584,1151
0237222001,clean,none,0,0,0,2798,13519,1184
0237222001,hallucinated,colour_swap,1,1,1,6097,13672,2403
0237222001,hallucinated,type_swap,0,0,0,2979,13556,1374
0237222001,hallucinated,fabric_claim,1,1,0,4899,13205,842
0237222001,hallucinated,visual_claim,1,0,0,5055,14768,1279
0324963051,clean,none,0,0,0,4872,13035,1273
0324963051,hallucinated,colour_swap,0,0,0,4827,12531,823
0324963051,hallucinated,fabric_claim,1,1,0,4939,13461,834
0380609001,clean,none,0,0,0,4868,13578,1674
0380609001,hallucinated,colour_swap,1,0,1,3312,12968,975
0380609001,hallucinated,type_swap,1,0,0,4897,12751,850
0380609001,hallucinated,fabric_claim,1,1,0,4916,13873,878
0348870008,clean,none,0,0,0,4757,13946,1536
0348870008,hallucinated,colour_swap,1,0,1,2965,14640,834
0348870008,hallucinated,fabric_claim,1,1,0,4824,13033,1061
0348870008,hallucinated,visual_claim,1,0,0,4812,12501,724
0377436002,clean,none,0,1,0,4930,12638,989
0377436002,hallucinated,colour_swap,1,1,0,4865,12240,748
0377436002,hallucinated,fabric_claim,1,0,0,4657,12452,826
0351484033,clean,none,0,0,1,4925,12503,791
0351484033,hallucinated,colour_swap,1,0,1,5448,12293,747
0351484033,hallucinated,fabric_claim,1,0,1,4854,12380,719
0658525001,clean,none,0,0,0,4780,12637,849
0658525001,hallucinated,colour_swap,1,0,1,4810,13057,793
0658525001,hallucinated,type_swap,1,0,0,4832,12504,757
0658525001,hallucinated,fabric_claim,0,0,0,4833,12356,738
0658525001,hallucinated,visual_claim,1,0,0,4781,12499,722
0633450001,clean,none,0,0,0,4827,12842,943
0633450001,hallucinated,colour_swap,1,0,1,4770,12325,756
0633450001,hallucinated,fabric_claim,1,0,0,4997,12389,739
0607025001,clean,none,0,0,1,4631,12523,741
0607025001,hallucinated,colour_swap,1,0,1,4847,12245,601
0607025001,hallucinated,type_swap,1,0,1,4836,12373,586
0607025001,hallucinated,fabric_claim,1,0,1,4874,13155,642
0333353010,clean,none,0,0,0,4688,12568,859
0333353010,hallucinated,colour_swap,1,0,0,4818,12368,731
0333353010,hallucinated,fabric_claim,1,0,0,4835,12349,732
0337991002,clean,none,0,1,1,4845,13922,1157
0337991002,hallucinated,colour_swap,1,1,1,2751,12753,880
0337991002,hallucinated,type_swap,1,1,1,4847,12412,684
0337991002,hallucinated,fabric_claim,1,1,1,5008,12854,723
0337991002,hallucinated,visual_claim,0,1,1,4747,12772,760
0327310002,clean,none,0,0,0,4895,13061,909
0327310002,hallucinated,colour_swap,1,0,0,4939,12222,735
0327310002,hallucinated,type_swap,1,0,0,4821,12718,749
0327310002,hallucinated,fabric_claim,1,0,0,4965,12585,758
0327310002,hallucinated,visual_claim,1,0,0,4818,12899,665
0758288001,clean,none,0,0,0,4857,12409,960
0758288001,hallucinated,colour_swap,1,0,1,4986,12400,730
0758288001,hallucinated,type_swap,1,0,0,4818,12540,771
0758288001,hallucinated,fabric_claim,1,0,0,4731,12428,720
0758288001,hallucinated,visual_claim,1,0,0,4985,12299,712
0189616006,clean,none,0,1,0,4736,12625,937
0189616006,hallucinated,colour_swap,1,1,0,4846,12545,723
0189616006,hallucinated,fabric_claim,1,0,0,4779,12106,691
0241412052,clean,none,0,0,0,4844,12254,813
0241412052,hallucinated,colour_swap,1,0,1,4810,12130,721
0241412052,hallucinated,fabric_claim,1,0,0,4801,12329,719
0201219001,clean,none,0,0,0,4837,12479,968
0201219001,hallucinated,colour_swap,1,1,0,4863,12223,655
0201219001,hallucinated,fabric_claim,1,0,0,6081,12157,727
0201219001,hallucinated,visual_claim,1,0,0,4749,12458,710
0296476017,clean,none,0,0,1,4773,13198,869
0296476017,hallucinated,colour_swap,0,0,0,32748,93,754
0296476017,hallucinated,type_swap,0,0,1,86,41,685
0296476017,hallucinated,fabric_claim,0,0,1,80,39,728
0305775024,clean,none,0,0,1,80,41,802
0305775024,hallucinated,colour_swap,0,0,0,82,40,733
0305775024,hallucinated,fabric_claim,0,0,1,81,39,705
0305775024,hallucinated,visual_claim,0,0,1,79,40,756
0266875024,clean,none,0,0,1,84,41,843
0266875024,hallucinated,colour_swap,0,0,1,78,41,712
0266875024,hallucinated,type_swap,0,0,1,81,40,776
0266875024,hallucinated,fabric_claim,0,0,1,80,40,693
0266875024,hallucinated,visual_claim,0,0,1,79,38,675
0205225001,clean,none,0,0,0,81,40,834
0205225001,hallucinated,colour_swap,0,0,0,80,40,669
0205225001,hallucinated,type_swap,0,0,0,85,41,775
0205225001,hallucinated,fabric_claim,0,0,0,78,37,688
0205225001,hallucinated,visual_claim,0,0,0,78,39,680
0237347045,clean,none,0,0,0,82,39,839
0237347045,hallucinated,colour_swap,0,0,1,82,41,730
0237347045,hallucinated,type_swap,0,0,0,80,40,758
0237347045,hallucinated,fabric_claim,0,0,0,81,39,723
0237347045,hallucinated,visual_claim,0,0,0,80,39,692
0153115021,clean,none,0,0,0,81,39,939
0153115021,hallucinated,colour_swap,0,0,0,82,39,700
0153115021,hallucinated,type_swap,0,0,0,91,40,671
0153115021,hallucinated,fabric_claim,0,0,0,81,39,689
0153115021,hallucinated,visual_claim,0,0,0,79,44,740
0602409002,clean,none,0,0,1,82,40,936
0602409002,hallucinated,colour_swap,0,0,1,79,41,721
0602409002,hallucinated,type_swap,0,0,0,81,39,714
0602409002,hallucinated,fabric_claim,0,0,1,82,39,678
0593829029,clean,none,0,0,0,81,85,709
0593829029,hallucinated,colour_swap,0,0,1,81,40,626
0593829029,hallucinated,fabric_claim,0,0,0,80,40,621
0593829029,hallucinated,visual_claim,0,0,0,79,41,604
0306847011,clean,none,0,0,0,83,40,840
0306847011,hallucinated,colour_swap,0,0,0,80,40,736
0306847011,hallucinated,fabric_claim,0,0,0,86,41,751
0496111007,clean,none,0,0,0,79,40,834
0496111007,hallucinated,colour_swap,0,0,1,80,40,843
0496111007,hallucinated,type_swap,0,0,0,82,47,699
0496111007,hallucinated,fabric_claim,0,0,0,84,40,716
0118458004,clean,none,0,0,0,86,41,712
0118458004,hallucinated,colour_swap,0,0,1,81,40,580
0118458004,hallucinated,type_swap,0,0,0,81,48,606
0118458004,hallucinated,fabric_claim,0,0,0,87,40,577
0567499001,clean,none,0,0,0,82,41,846
0567499001,hallucinated,colour_swap,0,0,0,83,52,742
0567499001,hallucinated,type_swap,0,0,1,82,42,711
0567499001,hallucinated,fabric_claim,0,0,0,82,41,712
0567499001,hallucinated,visual_claim,0,0,0,80,41,783
0361531012,clean,none,0,0,0,85,45,824
0361531012,hallucinated,colour_swap,0,0,0,82,40,789
0361531012,hallucinated,fabric_claim,0,0,0,82,40,767
0361531012,hallucinated,visual_claim,0,0,0,81,40,715
0300908009,clean,none,0,0,0,83,44,842
0300908009,hallucinated,colour_swap,0,0,1,80,40,653
0300908009,hallucinated,type_swap,0,0,0,81,41,664
0300908009,hallucinated,fabric_claim,0,0,0,87,40,692
0300908009,hallucinated,visual_claim,0,0,0,82,42,732
0282832014,clean,none,0,0,0,97,40,875
0282832014,hallucinated,colour_swap,0,0,0,127,43,712
0282832014,hallucinated,type_swap,0,0,0,83,43,771
0282832014,hallucinated,fabric_claim,0,0,0,105,42,748
0282832014,hallucinated,visual_claim,0,0,0,93,45,733
0130035001,clean,none,0,0,0,85,43,1024
0130035001,hallucinated,colour_swap,0,0,0,97,46,762
0130035001,hallucinated,type_swap,0,0,1,115,48,754
0130035001,hallucinated,fabric_claim,0,0,0,83,41,758
0130035001,hallucinated,visual_claim,0,0,0,87,42,723
0514577023,clean,none,0,0,1,92,41,827
0514577023,hallucinated,colour_swap,0,0,1,87,50,742
0514577023,hallucinated,fabric_claim,0,0,1,85,41,719
0778064001,clean,none,0,0,0,86,72,826
0778064001,hallucinated,colour_swap,0,0,0,82,42,782
0778064001,hallucinated,fabric_claim,0,0,0,108,65,738
0778064001,hallucinated,visual_claim,0,0,0,188,52,720
0539151001,clean,none,0,0,0,90,40,759
0539151001,hallucinated,colour_swap,0,0,0,109,42,741
0539151001,hallucinated,type_swap,0,0,0,107,65,703
0539151001,hallucinated,fabric_claim,0,0,0,99,48,673
0539151001,hallucinated,visual_claim,0,0,0,106,44,682
0176209023,clean,none,0,0,0,99,43,850
0176209023,hallucinated,colour_swap,0,0,0,88,42,714
0176209023,hallucinated,type_swap,0,0,1,102,41,767
0176209023,hallucinated,fabric_claim,0,0,0,88,41,743
0176209023,hallucinated,visual_claim,0,0,0,93,42,766
0253448059,clean,none,0,0,0,142,41,988
0253448059,hallucinated,type_swap,0,0,1,94,44,781
0253448059,hallucinated,fabric_claim,0,0,0,260,88,779
0253448059,hallucinated,visual_claim,0,0,0,97,49,764
0573652002,clean,none,0,0,0,97,43,854
0573652002,hallucinated,colour_swap,0,0,0,89,47,876
0573652002,hallucinated,fabric_claim,0,0,0,89,44,735
0573652002,hallucinated,visual_claim,0,0,0,90,43,725
0262277009,clean,none,0,0,0,88,102,735
0262277009,hallucinated,colour_swap,0,0,1,87,41,741
0262277009,hallucinated,type_swap,0,0,0,128,44,753
0262277009,hallucinated,fabric_claim,0,0,0,86,98,760
0262277009,hallucinated,visual_claim,0,0,0,100,43,729
