article_id,label,corruption,l1_flag,l2_flag,l3_flag,l1_ms,l2_ms,l3_ms
0189654047,clean,none,0,0,0,910,12684,8785
0189654047,hallucinated,colour_swap,1,0,1,211,2096,753
0189654047,hallucinated,type_swap,1,0,1,228,2283,672
0189654047,hallucinated,fabric_claim,1,0,0,207,2176,666
0189654047,hallucinated,visual_claim,1,0,0,209,2117,673
0237222001,clean,none,0,0,0,776,2208,833
0237222001,hallucinated,colour_swap,1,1,1,241,9660,675
0237222001,hallucinated,type_swap,0,0,0,283,12291,1004
0237222001,hallucinated,fabric_claim,1,1,0,233,12794,680
0237222001,hallucinated,visual_claim,1,0,0,342,12235,895
0324963051,clean,none,0,0,0,4868,12481,927
0324963051,hallucinated,colour_swap,0,0,0,267,12019,683
0324963051,hallucinated,fabric_claim,1,1,0,2225,12396,691
0380609001,clean,none,0,0,0,4841,12298,815
0380609001,hallucinated,colour_swap,1,0,1,253,12445,674
0380609001,hallucinated,type_swap,1,0,0,237,12305,706
0380609001,hallucinated,fabric_claim,1,1,0,185,12284,656
0348870008,clean,none,0,0,0,4775,15155,1252
0348870008,hallucinated,colour_swap,1,0,1,460,10999,1498
0348870008,hallucinated,fabric_claim,1,1,0,226,12671,731
0348870008,hallucinated,visual_claim,1,0,0,334,12549,714
0377436002,clean,none,0,1,0,4927,12636,884
0377436002,hallucinated,colour_swap,1,1,0,184,12589,693
0377436002,hallucinated,fabric_claim,1,0,0,292,12316,702
0351484033,clean,none,0,0,1,4937,12479,901
0351484033,hallucinated,colour_swap,1,0,1,186,12421,710
0351484033,hallucinated,fabric_claim,1,0,1,182,12581,696
0658525001,clean,none,0,0,0,22602,48,836
0658525001,hallucinated,colour_swap,0,0,1,40,41,761
0658525001,hallucinated,type_swap,0,0,0,39,39,702
0658525001,hallucinated,fabric_claim,0,0,0,38,39,741
0658525001,hallucinated,visual_claim,0,0,0,40,39,758
0633450001,clean,none,0,0,0,80,39,853
0633450001,hallucinated,colour_swap,0,0,1,39,39,724
0633450001,hallucinated,fabric_claim,0,0,0,39,39,730
0607025001,clean,none,0,0,1,79,40,727
0607025001,hallucinated,colour_swap,0,0,1,41,39,603
0607025001,hallucinated,type_swap,0,0,1,39,40,641
0607025001,hallucinated,fabric_claim,0,0,1,39,44,625
0333353010,clean,none,0,0,0,78,39,868
0333353010,hallucinated,colour_swap,0,0,0,40,38,749
0333353010,hallucinated,fabric_claim,0,0,0,40,38,688
0337991002,clean,none,0,0,1,79,40,835
0337991002,hallucinated,colour_swap,0,0,1,38,39,727
0337991002,hallucinated,type_swap,0,0,1,39,40,728
0337991002,hallucinated,fabric_claim,0,0,1,39,39,707
0337991002,hallucinated,visual_claim,0,0,1,39,40,711
0327310002,clean,none,0,0,0,124,39,710
0327310002,hallucinated,colour_swap,0,0,0,40,39,703
0327310002,hallucinated,type_swap,0,0,0,39,39,698
0327310002,hallucinated,fabric_claim,0,0,0,40,39,738
0327310002,hallucinated,visual_claim,0,0,0,38,40,715
0758288001,clean,none,0,0,0,77,38,786
0758288001,hallucinated,colour_swap,0,0,1,40,39,673
0758288001,hallucinated,type_swap,0,0,0,41,41,767
0758288001,hallucinated,fabric_claim,0,0,0,40,56,725
0758288001,hallucinated,visual_claim,0,0,0,40,39,717
0189616006,clean,none,0,0,0,82,40,825
0189616006,hallucinated,colour_swap,0,0,0,39,41,770
0189616006,hallucinated,fabric_claim,0,0,0,41,41,825
0241412052,clean,none,0,0,0,79,78,795
0241412052,hallucinated,colour_swap,0,0,1,38,40,801
0241412052,hallucinated,fabric_claim,0,0,0,40,38,732
0201219001,clean,none,0,0,0,79,41,885
0201219001,hallucinated,colour_swap,0,0,0,39,39,756
0201219001,hallucinated,fabric_claim,0,0,0,41,39,729
0201219001,hallucinated,visual_claim,0,0,0,40,41,689
0296476017,clean,none,0,0,1,82,39,858
0296476017,hallucinated,colour_swap,0,0,0,43,40,761
0296476017,hallucinated,type_swap,0,0,1,42,40,716
0296476017,hallucinated,fabric_claim,0,0,1,41,39,722
0305775024,clean,none,0,0,1,78,39,764
0305775024,hallucinated,colour_swap,0,0,0,38,40,778
0305775024,hallucinated,fabric_claim,0,0,1,43,40,789
0305775024,hallucinated,visual_claim,0,0,1,40,41,797
0266875024,clean,none,0,0,1,77,39,849
0266875024,hallucinated,colour_swap,0,0,1,41,39,790
0266875024,hallucinated,type_swap,0,0,1,41,39,729
0266875024,hallucinated,fabric_claim,0,0,1,40,38,757
0266875024,hallucinated,visual_claim,0,0,1,39,41,696
0205225001,clean,none,0,0,0,78,40,804
0205225001,hallucinated,colour_swap,0,0,0,40,40,725
0205225001,hallucinated,type_swap,0,0,0,38,39,779
0205225001,hallucinated,fabric_claim,0,0,0,38,39,730
0205225001,hallucinated,visual_claim,0,0,0,40,41,805
0237347045,clean,none,0,0,0,79,39,1315
0237347045,hallucinated,colour_swap,0,0,1,40,44,1648
0237347045,hallucinated,type_swap,0,0,0,40,40,1178
0237347045,hallucinated,fabric_claim,0,0,0,39,40,1065
0237347045,hallucinated,visual_claim,0,0,0,40,38,1138
0153115021,clean,none,0,0,0,79,39,1043
0153115021,hallucinated,colour_swap,0,0,0,44,41,871
0153115021,hallucinated,type_swap,0,0,0,42,40,1851
0153115021,hallucinated,fabric_claim,0,0,0,40,40,982
0153115021,hallucinated,visual_claim,0,0,0,38,39,955
0602409002,clean,none,0,0,1,82,40,1124
0602409002,hallucinated,colour_swap,0,0,1,41,40,2070
0602409002,hallucinated,type_swap,0,0,0,52,70,2994
0602409002,hallucinated,fabric_claim,0,0,1,44,41,1049
0593829029,clean,none,0,0,0,77,41,888
0593829029,hallucinated,colour_swap,0,0,1,39,40,714
0593829029,hallucinated,fabric_claim,0,0,0,39,39,775
0593829029,hallucinated,visual_claim,0,0,0,40,40,902
0306847011,clean,none,0,0,0,78,40,1304
0306847011,hallucinated,colour_swap,0,0,0,44,40,1779
0306847011,hallucinated,fabric_claim,0,0,0,42,42,1180
0496111007,clean,none,0,0,0,104,64,2182
0496111007,hallucinated,colour_swap,0,0,1,43,44,1273
0496111007,hallucinated,type_swap,0,0,0,42,42,925
0496111007,hallucinated,fabric_claim,0,0,0,41,41,926
0118458004,clean,none,0,0,0,80,40,801
0118458004,hallucinated,colour_swap,0,0,1,42,39,636
0118458004,hallucinated,type_swap,0,0,0,41,39,694
0118458004,hallucinated,fabric_claim,0,0,0,40,38,655
0567499001,clean,none,0,0,0,79,40,983
0567499001,hallucinated,colour_swap,0,0,0,40,40,892
0567499001,hallucinated,type_swap,0,0,1,42,40,1157
0567499001,hallucinated,fabric_claim,0,0,0,42,41,939
0567499001,hallucinated,visual_claim,0,0,0,41,44,1256
0361531012,clean,none,0,0,0,80,38,1837
0361531012,hallucinated,colour_swap,0,0,0,42,40,1217
