query_idx,true_id,A_stock_single,B_finetuned_single
0,0641008012,18,5
1,0854885004,1,3
2,0811529001,2,1
3,0652924041,52,15
4,0593783005,11,17
5,0748566023,,74
6,0874244002,1,1
7,0754238007,15,2
8,0542464002,1,1
9,0850277004,5,1
10,0768440003,62,13
11,0701078007,,1
12,0624311004,2,1
13,0761285001,,37
14,0848239002,77,54
15,0529008003,30,2
16,0705470001,6,6
17,0615249001,1,1
18,0677932002,4,1
19,0519589003,8,10
20,0694169005,1,1
21,0610726001,9,12
22,0751373001,58,1
23,0761937001,2,2
24,0838770002,13,3
25,0898107003,,
26,0941310001,52,6
27,0690077001,3,2
28,0757812006,21,10
29,0727917001,4,3
30,0747984002,12,2
31,0704630004,28,18
32,0828533002,1,1
33,0657476012,15,2
34,0349301010,3,1
35,0772090001,8,2
36,0712915001,4,3
37,0762846029,25,14
38,0843941001,,
39,0560783022,1,1
40,0757303016,15,4
41,0795536001,88,28
42,0834753002,5,1
43,0651558005,50,8
44,0697564010,,5
45,0898890001,1,1
46,0531394002,41,7
47,0634009017,2,1
48,0716662002,1,1
49,0788319004,1,1
50,0711922001,25,21
51,0776237004,4,7
52,0697292001,1,1
53,0838834002,2,1
54,0875272011,1,1
55,0883450003,16,11
56,0651564006,62,3
57,0888943002,14,1
58,0753237003,43,10
59,0859247003,1,3
60,0627171001,3,8
61,0861041001,1,1
62,0579865003,1,1
63,0823741001,43,56
64,0719128001,33,11
65,0811738001,22,12
66,0699077008,4,3
67,0695798001,3,1
68,0781820002,2,1
69,0705143001,2,1
70,0754262006,,22
71,0798579013,,67
72,0649440014,64,25
73,0831467001,90,11
74,0838768002,7,11
75,0794395001,2,2
76,0756374001,95,74
77,0537116001,37,15
78,0841793001,7,15
79,0740649001,16,3
80,0641715002,92,11
81,0857417004,63,37
82,0680499002,,8
83,0821746001,95,14
84,0800419001,2,1
85,0743909003,1,4
86,0739821002,10,5
87,0902163004,4,2
88,0658558002,3,3
89,0695632007,,64
90,0842605004,,65
91,0760857007,2,3
92,0615307003,3,1
93,0577648001,7,3
94,0700765010,68,4
95,0736049003,1,2
96,0783543023,,37
97,0690506003,10,8
98,0590922003,2,2
99,0888026003,9,2
100,0564934009,1,1
101,0831555001,87,81
102,0825781005,2,1
103,0696545002,4,1
104,0817491001,96,12
105,0777221002,1,1
106,0746546003,3,1
107,0894676001,,41
108,0244269019,2,1
109,0791292001,11,2
110,0682771005,5,2
111,0725904003,1,2
112,0850643001,11,12
113,0685813020,21,12
114,0725663002,2,2
115,0757741007,30,12
116,0741862002,2,1
117,0539723002,1,3
118,0902502001,1,3
119,0739953001,4,1
120,0715828016,41,15
121,0854168001,91,39
122,0391750016,6,13
123,0517729088,2,3
124,0657335001,69,8
125,0683662022,7,7
126,0629483003,11,7
127,0664317001,1,1
128,0506110001,13,1
129,0674291001,2,1
130,0882728001,5,5
131,0895028001,1,1
132,0709213001,1,1
133,0636505001,10,1
134,0685021001,2,1
135,0878003001,11,3
136,0926750001,2,1
137,0720125013,,50
138,0755644003,3,2
139,0692115002,36,9
140,0649440025,20,5
141,0869162002,1,1
142,0574109023,6,3
143,0753061006,4,1
144,0769959001,1,1
145,0716590003,34,10
146,0848678001,1,1
147,0731119001,40,10
148,0784276003,9,22
149,0786132004,31,33
150,0476315026,1,1
151,0842004002,2,1
152,0518158002,6,3
153,0798791003,1,1
154,0815026002,1,1
155,0705487003,2,3
156,0729095002,10,6
157,0706499002,3,2
158,0812530002,16,9
159,0573608013,2,1
160,0597652002,1,1
161,0566140004,5,2
162,0788575002,2,1
163,0727615002,2,3
164,0849257002,3,1
165,0399087015,,13
166,0684238001,1,1
167,0870611001,34,13
168,0845301002,2,1
169,0399201024,92,
170,0900267001,64,56
171,0897756002,9,1
172,0858460001,95,2
173,0744934004,32,9
174,0869616001,1,1
175,0790791008,7,12
176,0824628004,,61
177,0675271002,13,1
178,0502224001,4,14
179,0805914001,96,3
180,0710685004,1,1
181,0673357002,2,1
182,0621048001,95,5
183,0651697004,22,6
184,0700688004,10,4
185,0821845006,79,1
186,0556677009,40,24
187,0783346011,48,16
